id_municipio,sigla_uf,nome,i212
3518800,SP,Guarulhos,68599
3523107,SP,Itaquaquecetuba,68599
3530607,SP,Mogi Das Cruzes,68599
3552502,SP,Suzano,68599
3304557,RJ,Rio De Janeiro,37407
3509502,SP,Campinas,33199
3526902,SP,Limeira,33199
3538709,SP,Piracicaba,33199
3552205,SP,Sorocaba,33199
3552403,SP,Sumaré,33199
5300108,DF,Brasília,29370
3550308,SP,São Paulo,28591
3510609,SP,Carapicuíba,28589
3513801,SP,Diadema,28589
3518701,SP,Guarujá,28589
3529401,SP,Mauá,28589
3547809,SP,Santo André,28589
3548500,SP,Santos,28589
3548708,SP,São Bernardo Do Campo,28589
3552809,SP,Taboão Da Serra,28589
3303302,RJ,Niterói,22210
3304904,RJ,São Gonçalo,22210
2611606,PE,Recife,18195
2607901,PE,Jaboatão Dos Guararapes,18195
2609600,PE,Olinda,18195
2610707,PE,Paulista,18195
3136702,MG,Juiz De Fora,15047
3300456,RJ,Belford Roxo,15047
3301702,RJ,Duque De Caxias,15047
3303500,RJ,Nova Iguaçu,15047
3303906,RJ,Petrópolis,15047
3305109,RJ,São João De Meriti,15047
4314902,RS,Porto Alegre,13943
4304606,RS,Canoas,13943
4309209,RS,Gravataí,13943
2927408,BA,Salvador,13633
2905701,BA,Camaçari,13633
4125506,PR,São José Dos Pinhais,11814
4106902,PR,Curitiba,11814
2304400,CE,Fortaleza,10193
2303709,CE,Caucaia,10193
1501402,PA,Belém,8334
1302603,AM,Manaus,8013
4205407,SC,Florianópolis,6901
5108402,MT,Várzea Grande,6655
5103403,MT,Cuiabá,6655
3205309,ES,Vitória,6592
3201308,ES,Cariacica,6592
3205002,ES,Serra,6592
3205200,ES,Vila Velha,6592
5208707,GO,Goiânia,5640
5201108,GO,Anápolis,5640
5201405,GO,Aparecida De Goiânia,5640
2704302,AL,Maceió,3669
4202404,SC,Blumenau,3626
2111300,MA,São Luís,3094
3543402,SP,Ribeirão Preto,3074
5002704,MS,Campo Grande,2902
2408102,RN,Natal,2777
2507507,PB,João Pessoa,2777
3170206,MG,Uberlândia,2629
2800308,SE,Aracaju,2527
2211001,PI,Teresina,2122
3549805,SP,São José Do Rio Preto,1827
4113700,PR,Londrina,1799
1100205,RO,Porto Velho,1738
4115200,PR,Maringá,1556
1506807,PA,Santarém,1498
1600303,AP,Macapá,1271
2933307,BA,Vitória Da Conquista,1243
2611101,PE,Petrolina,1127
1721000,TO,Palmas,1126
4209102,SC,Joinville,988
1200401,AC,Rio Branco,911
3143302,MG,Montes Claros,801
1504208,PA,Marabá,769
4104808,PR,Cascavel,721
1400100,RR,Boa Vista,714
2504009,PB,Campina Grande,543
4305108,RS,Caxias Do Sul,276
3525904,SP,Jundiaí,186
3170107,MG,Uberaba,179
3301009,RJ,Campos Dos Goytacazes,146
4119905,PR,Ponta Grossa,134
3516200,SP,Franca,114
4314407,RS,Pelotas,85
4316907,RS,Santa Maria,84
2408003,RN,Mossoró,76
3549904,SP,São José Dos Campos,76
3554102,SP,Taubaté,76
3506003,SP,Bauru,68
2604106,PE,Caruaru,64
1500800,PA,Ananindeua,17
2910800,BA,Feira De Santana,11
3541000,SP,Praia Grande,10
3551009,SP,São Vicente,10
3106200,MG,Belo Horizonte,6
3106705,MG,Betim,6
3118601,MG,Contagem,6
3154606,MG,Ribeirão Das Neves,6
3534401,SP,Osasco,2
