id_municipio,sigla_uf,nome,i322
2609600,PE,Olinda,2.6468093128475823
1504208,PA,Marabá,2.159297052154195
4205407,SC,Florianópolis,2.0114285714285716
1501402,PA,Belém,1.8731400677367958
2408102,RN,Natal,1.7377922944830293
1100205,RO,Porto Velho,1.6729251700680274
4119905,PR,Ponta Grossa,1.65234375
3547809,SP,Santo André,1.600510615425961
2927408,BA,Salvador,1.5953469842592547
3554102,SP,Taubaté,1.546597000135129
2800308,SE,Aracaju,1.5308814389085412
4202404,SC,Blumenau,1.5178314049586779
4106902,PR,Curitiba,1.5013303504723399
2111300,MA,São Luís,1.4870634499547457
3205309,ES,Vitória,1.4369025571178233
1721000,TO,Palmas,1.4114728004743924
3106200,MG,Belo Horizonte,1.3836007711576983
4209102,SC,Joinville,1.3472543724279835
3136702,MG,Juiz de Fora,1.3444005661066472
3506003,SP,Bauru,1.335353417633005
3530607,SP,Mogi das Cruzes,1.3263228299643282
4314902,RS,Porto Alegre,1.3220720925754101
3304557,RJ,Rio de Janeiro,1.3107327289945314
3154606,MG,Ribeirão das Neves,1.29756242568371
5002704,MS,Campo Grande,1.296760833963215
5300108,DF,Brasília,1.2907987627738062
3303906,RJ,Petrópolis,1.2681752973298164
3550308,SP,São Paulo,1.2630283202948855
3304904,RJ,São Gonçalo,1.2589832313015705
3552502,SP,Suzano,1.2566666666666666
3170206,MG,Uberlândia,1.2522201991676576
2611606,PE,Recife,1.2500271267361112
5201108,GO,Anápolis,1.2456710247254958
2610707,PE,Paulista,1.2189904297241507
3518701,SP,Guarujá,1.1900181077410594
1302603,AM,Manaus,1.1874114229024941
2507507,PB,João Pessoa,1.1811494252873564
3301702,RJ,Duque de Caxias,1.1716011278768481
3538709,SP,Piracicaba,1.170873082960995
2910800,BA,Feira de Santana,1.1305769327498616
3205200,ES,Vila Velha,1.1283446712018141
2211001,PI,Teresina,1.1260741541974641
5208707,GO,Goiânia,1.1189337593140896
3106705,MG,Betim,1.113489275147929
1200401,AC,Rio Branco,1.1125120938797164
5108402,MT,Várzea Grande,1.1018518518518519
3548708,SP,São Bernardo do Campo,1.0816985600486315
3170107,MG,Uberaba,1.0746530314097882
2905701,BA,Camaçari,1.0686633135192807
3301009,RJ,Campos dos Goytacazes,1.0477825286351863
2933307,BA,Vitória da Conquista,1.0457220461747396
4304606,RS,Canoas,1.0449493824410288
3552205,SP,Sorocaba,1.0404827516492403
3143302,MG,Montes Claros,1.0360794774460518
4113700,PR,Londrina,1.030725608426148
5201405,GO,Aparecida de Goiânia,1.0301013588772556
5103403,MT,Cuiabá,1.0230562961125924
3303302,RJ,Niterói,1.0209599549063817
3118601,MG,Contagem,1.017958060678168
1400100,RR,Boa Vista,1.0175667762713392
3543402,SP,Ribeirão Preto,1.0054876730103806
2504009,PB,Campina Grande,1.0006158842137678
4125506,PR,São José dos Pinhais,0.9995042633353163
3509502,SP,Campinas,0.9960776852000214
3549904,SP,São José dos Campos,0.9894805543824625
3552403,SP,Sumaré,0.9687012697705503
2304400,CE,Fortaleza,0.9563633258375793
2704302,AL,Maceió,0.9523126996924364
4104808,PR,Cascavel,0.947319695917677
3526902,SP,Limeira,0.9298454221165279
4314407,RS,Pelotas,0.9256607700312175
3305109,RJ,São João de Meriti,0.9255227504111522
2408003,RN,Mossoró,0.9186921296296297
3549805,SP,São José do Rio Preto,0.9122636149663177
2611101,PE,Petrolina,0.911810438074635
4305108,RS,Caxias do Sul,0.9059460738925516
1600303,AP,Macapá,0.9023646638905414
3525904,SP,Jundiaí,0.8995144628099173
1500800,PA,Ananindeua,0.8980530016224987
2607901,PE,Jaboatão dos Guararapes,0.896917590565638
3303500,RJ,Nova Iguaçu,0.894544819422073
3529401,SP,Mauá,0.8710615122456481
3548500,SP,Santos,0.852623107489563
3205002,ES,Serra,0.8458575588028587
4115200,PR,Maringá,0.8286732970538562
4309209,RS,Gravataí,0.8277344799785005
2604106,PE,Caruaru,0.8166660393691896
3551009,SP,São Vicente,0.81621535010415
3300456,RJ,Belford Roxo,0.813812744749021
4316907,RS,Santa Maria,0.8096236028928336
3534401,SP,Osasco,0.7858197535504309
1506807,PA,Santarém,0.7837301587301586
3516200,SP,Franca,0.7474078612498822
3552809,SP,Taboão da Serra,0.7357171196191232
3510609,SP,Carapicuíba,0.689559486645855
3513801,SP,Diadema,0.6450103611411592
3518800,SP,Guarulhos,0.6201915445786574
3201308,ES,Cariacica,0.6120973044049967
2303709,CE,Caucaia,0.5336312039608743
3541000,SP,Praia Grande,0.3955925826390756
3523107,SP,Itaquaquecetuba,0.33794992477142083
